item_id,raw_name,drop_down_index,option_index,button_text,option_text,option_value,additional_options
835692,'Two Times' McCoy | TACP Cavalry,0,0,Applied Patches,All,,[]
835692,'Two Times' McCoy | TACP Cavalry,0,1,Applied Patches,Patched,non_empty,[]
835692,'Two Times' McCoy | TACP Cavalry,0,2,Applied Patches,No Patch,empty,[]
835692,'Two Times' McCoy | TACP Cavalry,0,3,Applied Patches,Customize,custom,[]
835692,'Two Times' McCoy | TACP Cavalry,1,0,Default,Default,default,[]
835692,'Two Times' McCoy | TACP Cavalry,1,1,Default,Latest,created.desc,[]
835692,'Two Times' McCoy | TACP Cavalry,1,2,Default,Price,price.asc,[]
835692,'Two Times' McCoy | TACP Cavalry,1,3,Default,Price,price.desc,[]
835692,'Two Times' McCoy | TACP Cavalry,1,4,Default,Time cost,seller.asc,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,0,Float Range,All,,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,1,Float Range,0.07-0.08,0.07-0.08,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,2,Float Range,0.08-0.09,0.08-0.09,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,3,Float Range,0.09-0.10,0.09-0.10,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,4,Float Range,0.10-0.11,0.10-0.11,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,5,Float Range,0.11-0.15,0.11-0.15,[]
33874,AK-47 | Blue Laminate (Minimal Wear),0,6,Float Range,Customize,,[]
33874,AK-47 | Blue Laminate (Minimal Wear),2,0,Name Tag,All,,[]
33874,AK-47 | Blue Laminate (Minimal Wear),2,1,Name Tag,Renamed,1,[]
33874,AK-47 | Blue Laminate (Minimal Wear),2,2,Name Tag,None,0,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,0,Stickers,All,,[]
33874,AK-47 | Blue Laminate (Minimal Wear),3,1,Stickers,With stickers,non_empty,[]
